datum_abruf,titel,datum_event,ort,beschreibung,link,quelle
2026-03-30,ServiceBürgerservice A-ZServiceportalBürgerbüroIdeen- und MängelmelderNotdienste,,Castrop-Rauxel,,https://www.castrop-rauxel.de/service/buergerservice-z,Stadt Castrop-Rauxel Kalender
2026-03-30,Meine StadtStadtinformationÜbersichtWissenswertesÜbersichtStadtgeschichteStatist,,Castrop-Rauxel,,https://www.castrop-rauxel.de/stadtinformation/stadtinformation,Stadt Castrop-Rauxel Kalender
2026-03-30,StadtinformationÜbersichtWissenswertesÜbersichtStadtgeschichteStatistikWappen un,,Castrop-Rauxel,,https://www.castrop-rauxel.de/stadtinformation/stadtinformation,Stadt Castrop-Rauxel Kalender
2026-03-30,WissenswertesÜbersichtStadtgeschichteStatistikWappen und StadtnameEhrenbürger,,Castrop-Rauxel,,https://www.castrop-rauxel.de/wissenswertes/wissenswertes,Stadt Castrop-Rauxel Kalender
2026-03-30,TourismusÜbersichtVeranstaltungenStadtporträtSehenswertesGeoportal,,Castrop-Rauxel,,https://www.castrop-rauxel.de/tourismus/tourismus,Stadt Castrop-Rauxel Kalender
2026-03-30,StadtentwicklungÜbersichtEntwicklung der StadtteileÜbersichtISEK MerklindeISEK S,,Castrop-Rauxel,,https://www.castrop-rauxel.de/stadtentwicklung,Stadt Castrop-Rauxel Kalender
2026-03-30,"Entwicklung der StadtteileÜbersichtISEK MerklindeISEK StadtmittelpunktSpiel-, Sp",,Castrop-Rauxel,,https://www.castrop-rauxel.de/entwicklung-der-stadtteile/entwicklung-der-stadtteile,Stadt Castrop-Rauxel Kalender
2026-03-30,"Spiel-, Sport- und Bewegungspark am Hallenbad",,Castrop-Rauxel,,https://www.castrop-rauxel.de/entwicklung-der-stadtteile/spiel-sport-und-bewegungspark-am-hallenbad,Stadt Castrop-Rauxel Kalender
2026-03-30,Zukunftsfähige Innenstädte und Ortstzentren,,Castrop-Rauxel,,https://www.castrop-rauxel.de/entwicklung-der-stadtteile/zukunftsfaehige-innenstaedte-und-ortstzentren,Stadt Castrop-Rauxel Kalender
2026-03-30,MobilitätÜbersichtNahmobilitätskonzeptMitarbeit beim Nahverkehrsplan,,Castrop-Rauxel,,https://www.castrop-rauxel.de/mobilitaet/mobilitaet,Stadt Castrop-Rauxel Kalender
2026-03-30,Kultur und FreizeitÜbersichtVeranstaltungenÜbersichtVeranstaltungskalenderKirmes,,Castrop-Rauxel,,https://www.castrop-rauxel.de/kultur-und-freizeit/kultur-und-freizeit,Stadt Castrop-Rauxel Kalender
2026-03-30,VeranstaltungenÜbersichtVeranstaltungskalenderKirmesWochenmärkteMittelaltermarkt,,Castrop-Rauxel,,https://www.castrop-rauxel.de/tourismus/veranstaltungen,Stadt Castrop-Rauxel Kalender
